 ,Area,%Area,Slice
951,23,100,27
952,1,100,27
953,1,100,27
954,2,100,27
955,1,100,28
956,2,100,28
957,1,100,28
958,9,100,28
959,2,100,28
960,1,100,28
961,1,100,28
962,1,100,28
963,18,100,28
964,15,100,28
965,4,100,28
966,3,100,28
967,1,100,28
968,10,100,28
969,1,100,28
970,8,100,28
971,28,100,28
972,5,100,28
973,1,100,28
974,19,100,28
975,30,100,28
976,4,100,28
977,13,100,28
978,17,100,28
979,15,100,28
980,1,100,28
981,2,100,28
982,4,100,28
983,8,100,28
984,22,100,28
985,16,100,28
986,11,100,28
987,20,100,28
988,28,100,28
989,9,100,28
990,40,100,28
991,20,100,28
992,1,100,29
993,5,100,29
994,1,100,29
995,1,100,29
996,1,100,29
997,20,100,29
998,15,100,29
999,5,100,29
1000,1,100,29
1001,6,100,29
1002,12,100,29
1003,28,100,29
1004,2,100,29
1005,5,100,29
1006,6,100,29
1007,32,100,29
1008,2,100,29
1009,16,100,29
1010,16,100,29
1011,18,100,29
1012,1,100,29
1013,1,100,29
1014,8,100,29
1015,4,100,29
1016,10,100,29
1017,15,100,29
1018,27,100,29
1019,22,100,29
1020,1,100,29
1021,48,100,29
1022,10,100,29
1023,1,100,29
1024,1,100,29
1025,1,100,30
1026,1,100,30
1027,2,100,30
1028,1,100,30
1029,1,100,30
1030,1,100,30
1031,2,100,30
1032,1,100,30
1033,2,100,30
1034,15,100,30
1035,10,100,30
1036,2,100,30
1037,1,100,30
1038,5,100,30
1039,8,100,30
1040,12,100,30
1041,22,100,30
1042,4,100,30
1043,5,100,30
1044,4,100,30
1045,8,100,30
1046,19,100,30
1047,1,100,30
1048,12,100,30
1049,4,100,30
1050,16,100,30
1051,1,100,30
1052,7,100,30
1053,18,100,30
1054,11,100,30
1055,30,100,30
1056,16,100,30
1057,10,100,30
1058,45,100,30
1059,1,100,30
1060,2,100,30
1061,3,100,31
1062,1,100,31
1063,2,100,31
1064,2,100,31
1065,1,100,31
1066,1,100,31
1067,4,100,31
1068,1,100,31
1069,1,100,31
1070,1,100,31
1071,1,100,31
1072,1,100,31
1073,1,100,31
1074,12,100,31
1075,22,100,31
1076,1,100,31
1077,3,100,31
1078,21,100,31
1079,4,100,31
1080,5,100,31
1081,1,100,31
1082,5,100,31
1083,1,100,31
1084,8,100,31
1085,22,100,31
1086,3,100,31
1087,3,100,31
1088,2,100,31
1089,28,100,31
1090,7,100,31
1091,21,100,31
1092,31,100,31
1093,5,100,31
1094,3,100,31
1095,2,100,32
1096,1,100,32
1097,1,100,32
1098,1,100,32
1099,1,100,32
1100,2,100,32
1101,4,100,32
1102,3,100,32
1103,1,100,32
1104,3,100,32
1105,2,100,32
1106,2,100,32
1107,9,100,32
1108,3,100,32
1109,7,100,32
1110,13,100,32
1111,30,100,32
1112,4,100,32
1113,4,100,32
1114,15,100,32
1115,25,100,32
1116,4,100,32
1117,27,100,32
1118,1,100,32
1119,5,100,32
1120,3,100,32
1121,12,100,32
1122,4,100,32
1123,21,100,32
1124,2,100,32
1125,2,100,32
1126,5,100,32
1127,15,100,32
1128,5,100,32
1129,14,100,32
1130,1,100,32
1131,4,100,32
1132,33,100,32
1133,17,100,32
1134,1,100,32
1135,19,100,32
1136,6,100,32
1137,1,100,33
1138,2,100,33
1139,1,100,33
1140,1,100,33
1141,3,100,33
1142,4,100,33
1143,1,100,33
1144,2,100,33
1145,17,100,33
1146,1,100,33
1147,1,100,33
1148,24,100,33
1149,21,100,33
1150,4,100,33
1151,32,100,33
1152,9,100,33
1153,9,100,33
1154,28,100,33
1155,2,100,33
1156,21,100,33
1157,11,100,33
1158,1,100,33
1159,41,100,33
1160,2,100,33
1161,1,100,33
1162,5,100,33
1163,17,100,33
1164,15,100,33
1165,13,100,33
1166,23,100,33
1167,8,100,33
1168,4,100,33
1169,8,100,33
1170,13,100,33
1171,18,100,33
1172,37,100,33
1173,45,100,33
1174,17,100,33
1175,2,100,33
1176,2,100,33
1177,2,100,34
1178,2,100,34
1179,2,100,34
1180,1,100,34
1181,2,100,34
1182,2,100,34
1183,3,100,34
1184,1,100,34
1185,22,100,34
1186,1,100,34
1187,32,100,34
1188,11,100,34
1189,9,100,34
1190,17,100,34
1191,24,100,34
1192,25,100,34
1193,10,100,34
1194,29,100,34
1195,15,100,34
1196,17,100,34
1197,10,100,34
1198,1,100,34
1199,1,100,34
1200,3,100,34
1201,8,100,34
1202,53,100,34
1203,2,100,34
1204,2,100,34
1205,13,100,34
1206,22,100,34
1207,37,100,34
1208,13,100,34
1209,9,100,34
1210,4,100,34
1211,4,100,34
1212,24,100,34
1213,6,100,34
1214,32,100,34
1215,5,100,34
1216,13,100,34
1217,50,100,34
1218,11,100,34
1219,31,100,34
1220,18,100,34
1221,2,100,35
1222,1,100,35
1223,1,100,35
1224,1,100,35
1225,1,100,35
1226,1,100,35
1227,1,100,35
1228,25,100,35
1229,40,100,35
1230,19,100,35
1231,16,100,35
1232,2,100,35
1233,9,100,35
1234,26,100,35
1235,24,100,35
1236,11,100,35
1237,13,100,35
1238,9,100,35
1239,11,100,35
1240,55,100,35
1241,2,100,35
1242,5,100,35
1243,1,100,35
1244,1,100,35
1245,1,100,35
1246,22,100,35
1247,41,100,35
1248,5,100,35
1249,14,100,35
1250,6,100,35
1251,6,100,35
1252,27,100,35
1253,12,100,35
1254,26,100,35
