Volume (micrometer^3),Surface (micrometer^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micrometer),SD dist. to surf. (micrometer),Median dist. to surf. (micrometer),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
104,0,104,0,0,0,0,0,0,0,852.952,833.327,22.644,0,0,0,0,0,0,0,0,0,0,0,0
65,0,65,0,0,0,0,0,0,0,411.077,835.138,20.569,0,0,0,0,0,0,0,0,0,0,0,0
84,0,84,0,0,0,0,0,0,0,641.214,967.071,20.631,0,0,0,0,0,0,0,0,0,0,0,0
82,0,82,0,0,0,0,0,0,0,1070.695,1028.671,22.341,0,0,0,0,0,0,0,0,0,0,0,0
84,0,84,0,0,0,0,0,0,0,1016.214,1062.000,21.929,0,0,0,0,0,0,0,0,0,0,0,0
378,0,378,0,0,0,0,0,0,0,759.622,1140.378,24.749,0,0,0,0,0,0,0,0,0,0,0,0
319,0,319,0,0,0,0,0,0,0,514.802,430.041,25.260,0,0,0,0,0,0,0,0,0,0,0,0
24,0,24,0,0,0,0,0,0,0,1094.875,877.833,21.167,0,0,0,0,0,0,0,0,0,0,0,0
38,0,38,0,0,0,0,0,0,0,836.184,496.789,23.921,0,0,0,0,0,0,0,0,0,0,0,0
429,0,429,0,0,0,0,0,0,0,663.592,616.270,27.021,0,0,0,0,0,0,0,0,0,0,0,0
24,0,24,0,0,0,0,0,0,0,979.083,844.625,22.500,0,0,0,0,0,0,0,0,0,0,0,0
41,0,41,0,0,0,0,0,0,0,919.171,864.293,24.756,0,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,0,0,0,0,0,0,678.214,967.500,22.571,0,0,0,0,0,0,0,0,0,0,0,0
217,0,217,0,0,0,0,0,0,0,972.300,488.576,26.903,0,0,0,0,0,0,0,0,0,0,0,0
594,0,594,0,0,0,0,0,0,0,820.577,687.397,27.547,0,0,0,0,0,0,0,0,0,0,0,0
596,0,596,0,0,0,0,0,0,0,565.111,821.003,28.295,0,0,0,0,0,0,0,0,0,0,0,0
134,0,134,0,0,0,0,0,0,0,578.881,838.022,25.866,0,0,0,0,0,0,0,0,0,0,0,0
24,0,24,0,0,0,0,0,0,0,575.083,852.083,23.500,0,0,0,0,0,0,0,0,0,0,0,0
117,0,117,0,0,0,0,0,0,0,922.120,870.940,25.393,0,0,0,0,0,0,0,0,0,0,0,0
145,0,145,0,0,0,0,0,0,0,1138.414,918.228,25.538,0,0,0,0,0,0,0,0,0,0,0,0
164,0,164,0,0,0,0,0,0,0,510.189,1102.079,26.299,0,0,0,0,0,0,0,0,0,0,0,0
120,0,120,0,0,0,0,0,0,0,944.708,510.992,26.283,0,0,0,0,0,0,0,0,0,0,0,0
21,0,21,0,0,0,0,0,0,0,1041.714,551.667,24.143,0,0,0,0,0,0,0,0,0,0,0,0
240,0,240,0,0,0,0,0,0,0,1018.292,587.579,28.038,0,0,0,0,0,0,0,0,0,0,0,0
44,0,44,0,0,0,0,0,0,0,873.227,601.182,24.750,0,0,0,0,0,0,0,0,0,0,0,0
163,0,163,0,0,0,0,0,0,0,1174.485,873.313,26.755,0,0,0,0,0,0,0,0,0,0,0,0
52,0,52,0,0,0,0,0,0,0,1102.981,883.115,25.942,0,0,0,0,0,0,0,0,0,0,0,0
28,0,28,0,0,0,0,0,0,0,726.929,1045.786,24.786,0,0,0,0,0,0,0,0,0,0,0,0
