Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
539,obj540-val540,540,0,832.0555555555555,1353.7989417989418,59.6005291005291,832.0555555555555,1353.7989417989418,59.6005291005291,826,1349,56,838,1357,63,936.0,0.40384615384615385,378.0,378,426.0,426.0,265.17740000000003,0.20902930463882732,0.5934752588488678,0.8666154925966515,0.9534007361033758,0.20902930463882732,0.5934752588488678,0.9425246376092368,6.283842563817314,1.5393480009316698,1.0253590807389281,427.7744769631344,0.8836431819951147,2.511753953975171,6.9481768755238225,4.291340192951589,0.9059341863147357,
540,obj541-val541,541,0,749.0,112.0,57.0,749.0,112.0,57.0,749,112,57,749,112,57,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
541,obj542-val542,542,0,806.0,115.5,57.0,806.0,115.5,57.0,806,115,57,806,116,57,2.0,1.0,2.0,2,10.0,10.0,6.666666666666667,0.4523893421169302,0.7676635200443077,1.526814029644639,1.1514949756065076,0.4523893421169302,0.7676635200443077,0.8078870169771784,1.118033988749895,NaN,NaN,NaN,NaN,0.5,0.5,0.5,0.0,
542,obj543-val543,543,0,810.2,116.2,57.8,810.2,116.2,57.8,809,116,57,811,117,59,18.0,0.2777777777777778,5.0,5,24.0,24.0,12.0,0.20453077171808548,0.5891869451121191,1.6362461737446838,1.1783732668501439,0.20453077171808548,0.5891869451121191,0.4816996842444781,2.3309254587752704,2.6437020200407826,2.0258867161472027,3.746567673388533,1.3345548341524596,0.346410161513805,1.649242250247043,1.0297461328929338,0.5239547950348963,
543,obj544-val544,544,0,817.5,116.0,57.0,817.5,116.0,57.0,817,116,57,818,116,57,2.0,1.0,2.0,2,10.0,10.0,6.666666666666667,0.4523893421169302,0.7676635200443077,1.526814029644639,1.1514949756065076,0.4523893421169302,0.7676635200443077,0.8078870169771784,1.118033988749895,NaN,NaN,NaN,NaN,0.5,0.5,0.5,0.0,
544,obj545-val545,545,0,635.0,120.0,57.0,635.0,120.0,57.0,635,120,57,635,120,57,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
545,obj546-val546,546,0,854.0,122.0,57.0,854.0,122.0,57.0,854,122,57,854,122,57,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
546,obj547-val547,547,0,226.89743589743588,570.7692307692307,58.84615384615385,226.89743589743588,570.7692307692307,58.84615384615385,226,569,57,229,573,60,80.0,0.4875,39.0,39,82.0,82.0,52.475,0.31198953755017106,0.6782349705731314,1.1904858718250029,1.0598427059306887,0.31198953755017106,0.6782349705731314,0.9212226751152888,2.606222444104826,1.258462107792693,1.1531845115914872,40.601674183691536,0.9605515236528133,0.8830346337293781,2.4411549200845317,1.7099745924993184,0.4083231752791135,
547,obj548-val548,548,0,640.32,753.32,58.48,640.32,753.32,58.48,639,752,57,642,755,60,64.0,0.390625,25.0,25,68.0,68.0,43.1609,0.22480483763029957,0.6080445968312297,0.8791458178863072,0.9579738145883884,0.22480483763029957,0.6080445968312297,0.8307943312974724,2.37282193894913,1.266620257090661,1.2394931564060878,28.14148710099293,0.8883681203584267,0.6893475175846122,2.1989088203015528,1.504789426147731,0.4138841519919194,
548,obj549-val549,549,0,1271.6666666666667,793.5555555555555,57.55555555555556,1271.6666666666667,793.5555555555555,57.55555555555556,1271,793,57,1273,794,58,12.0,0.75,9.0,9,28.0,28.0,15.789533333333335,0.4173143302600144,0.7472878008021098,2.3271774984070643,1.325184974466626,0.4173143302600144,0.7472878008021098,0.9272630691743687,1.5713484026367723,1.4907119849998598,1.0,7.313387194978762,1.230619924811206,0.7114582486036213,1.4740554623801125,0.9452180653329552,0.22458565324795166,
